ns1:org_name_short,ns1:inn
"ООО ""ЭНЕРГИЯ ДВ""",2721125666
"МАУ ""ТРК НАДЫМ""",8903036179
"ООО ""ИЛГО""",5262041839
"ООО ""РЕГИОН-СЕРВИС""",6027078686
"ООО ""ВАШЕ РАДИО""",3662030933
"ООО ФИРМА ""УРАЛ-ТР""",7453013265
"ООО ""РЕДАКЦИЯ ПРОГРАММ ДОМА РАДИО ""ГАРДАРИКА""",4703029900
"ООО ""КТК ""СЛАДКАЯ ЖИЗНЬ"" РАДИО ПЕРВЫЙ КАНАЛ""",0273020976
"АО ""СУРГУТИНФОРМ-ТВ""",8602039472
"ООО ""СТУДИЯ ВАРИАНТ""",7825343139
"ООО ""ЕВРОПА МЕДИА КУЗБАСС""",4207011817
"ООО ""АЛЬТЕРНАТИВА""",5501055313
"ООО ""АРАДИО""",7106044699
"ООО ""УРАЛ-ТАУ""",0278108769
"ООО ""КОМПАНИЯ ДИФЕРЕНТ""",3123405556
"ООО ""САТУРН""",0263004630
"ООО ""УНИВЕРКИДЗ""",7704720689
"ООО ""КОМПАНИЯ УНИВЕРСАЛ КОММУНИКАТИОНС""",7704691974
"ООО ""УНИВЕРМЬЮЗИК""",7704720400
"ООО ""СЫКТЫВКАР-АВТОРАДИО""",1101105442
"ООО ""САРОВ24""",5254484202
"ООО ""ВИАСАТ МЕДИЯ""",7725694750
"ООО ""МЕДИА - ГРУППА ""КОМПАС""",6612020950
"ООО ""МОДЕРН-МЕДИА""",2902079563
"ООО ""МКБ""",3662061586
"ООО ""РА ""ПРОДВИЖЕНИЕ""",3817026178
"ООО ""ЭХО-ММ""",0561046427
"ООО ""ПРОСТОР МЕДИА""",3444127036
"ООО ""РАДИО-7""",7203348558
"ООО ""КТМ""",0562054332
"ООО ""ВИАСАТ ДА ВИНЧИ""",7725703236
"ООО ""ВИАСАТ ГЛОБАЛ""",7717567251
"АО ""ФЕЛИСТА""",7708141869
"ООО ""ЗЛАТ ФМ""",7404046677
"ООО ""ВИАСАТ ХОЛДИНГ""",7717500440
"АО ""РАДИО ЗАПАДНОЙ СИБИРИ""",7203082280
"ООО ""ОРБИТА-СЕРВИС""",6607009171
"ООО ""29 РЕГИОН""",2904017523
"ООО ""ТЕЛЕВИДЕНИЕ АРМАВИРА""",2302048490
"ООО ""ГСП""",1102002707
"ООО ""РА ""РЕАЛ ПЛЮС""",1901047743
"ООО ""ОЛИМП МЕДИА""",2634010387
"ООО ""РАДИО-ИНФОРМ""",0276037720
"ООО ""РАДИО МИР""",6670128751
"ООО ПКФ "" ТАНДЕМ """,5921005273
"ООО ""МАЛКОВ-РАДИОТРОН""",5193200732
"ООО ""ЭТО ""ПРОСПЕКТ""",2225224740
"АО ""ВОСТОЧНЫЙ ДОНБАСС""",6144010579
"ООО ""ИСКРА - ВЭКТ""",5005034228
"ООО ""ТК ОБНИНСК ТВ""",4025062528
"ООО ""РАДИОКОМ""",4632018377
"ООО ""КЛАССНОЕ РАДИО""",5615010940
"ООО ""БЕРЕЗНИКИ МЕДИА""",5902157111
"ООО ""РЕКЛАМНОЕ АГЕНТСТВО ""БУМЕРАНГ""",6027052215
"ООО ""МБ ТВ""",9701091605
"ООО ""МБ РУ""",9701066782
"ООО ""МАКС-МЕДИА""",7718789465
"ООО ""ЕВРОКИНО""",7715698139
"ООО ""МЕДИАКОМПАНИЯ ""СЕВЕРНЫЙ ГОРОД""",2457059448
"ООО ""ТРК ""АНТЕННА-7""",5505055346
"АО ""ТЕЛЕКАНАЛ РБК""",7736222260
"ООО ""ТРК ""ЭФИР""",0245016706
"ООО ""МКТ МЕДИА""",7702703092
"ООО ""ТЕЛЕГРАФ""",7204147220
"ООО ""ТРВК ""ДЕСНА-ТВ""",6724006858
"ООО ""КОМКОМ""",7451080379
"ООО ""ЕВРОПА ПЛЮС НОВОСИБИРСК""",5408147672
"ООО "" РУССКАЯ ВОЛНА """,7106039427
"ООО ""МЕДИА-ФОРУМ""",6670428843
"ООО ""АРСЕНАЛ""",3334004708
"ООО ""РАДИО ""ГУБЕРНИЯ""",3666170120
"ООО ""ПРИКАМЬЕ""",5944202246
"ООО ТРК ""ТВЕРСКОЙ ПРОСПЕКТ - РЕГИОН""",6950139097
"ООО ""МЕДИАДОМ""",3444123264
"МАУ ""ПУРМЕДИА""",8911005706
"ОАО ""ТРК ""ЗАРЕЧНЫЙ""",5838045915
"ООО ""ТВ-УРУССУ""",1642004988
"ООО ""ЮГ-МЕДИА""",2302045900
"ООО ""МЕДИО""",6915011055
,7705010096
"ООО ""МИКС""",5501060352
"АО ""ТРВ""",5254497603
"ООО ""ИКС МЕДИА""",4502018739
"ООО ""ИМПУЛЬС""",3460015883
"ООО ""РАДИОКОМПАНИЯ ЮГ-МЕДИА""",2311121153
"ООО "" ТРК ""КАНАЛ-16""",5254003879
"ООО ""АЛМАЗ""",0541024337
"ООО ""РГ НР""",8609020960
"ООО ""РАДИО ПРИВОЛЖЬЕ""",5262122742
"ООО ИК ""МЕДИА-ЦЕНТР""",7451074008
"ООО ""РАДИО СТИЛЬ""",6731046273
"ООО ""ЛОГОС""",0900008732
"МБУК КИТЦ ""СПЕКТР""",7112501199
"ООО ""РГ ""РУССКАЯ ТРОЙКА""",4205132742
"НТИА ""МИГ""",8905002305
"ООО ""МЕДИА-ТРЕК""",2311061521
"ООО РГ ""ЗВУК""",5920029761
"МБУ БТК ""БЕЛОРЕЦК ТВ - 6""",0256008440
"ООО ""ЛИРА-46""",4633014907
"ООО ""АВТОРАДИО РЕГИОН""",2308085025
"ООО  "" РЕГИОН МЕДИА""",0326037221
"ООО ""МЕГА-МЕДИА""",7727658660
"ООО ""РАДИО - 3""",2221030769
"ООО ""КВАРЦ ТЕЛЕКОМ""",5036103746
"ООО ""ТВК-РАДИО""",4824006488
ООО ПТО ВИДЕОКАНАЛ,7422000160
"ИЗДАТЕЛЬСКИЙ ДОМ ""ГУБЕРНСКИЕ ВЕДОМОСТИ""",6501071902
"ООО "" 101,5""",6316168096
"ООО ""РАДИО ХОЛДИНГ""",3123163949
"ООО ""РЕТРО ФМ КИРОВ""",4345211218
"ООО ""ЗЛАТОУСТОВСКАЯ МЕДИАГРУППА""",7404053385
"ООО ""АВТОС""",3801014508
"ООО ""ЭПОХА""",3328005630
"ООО ""ШОППИНГ ЛАЙВ""",7707750240
"ООО ""НЕТВОРКС ВОСТОК""",7710701973
"ООО ""МТВ НЕТВОРКС НИК ВОСТОК""",7743785979
"АО ""МЕДИАМАРТ""",7710580334
"МАУ ""КТРК ""СУЛИН""",6148559627
"ООО ""КТРК ""ДЕЛОВАЯ ВОЛНА""",0269016134
"ООО "" ВИДЕОТОН ПЛЮС """,6125023117
"ООО ""ОАЗИС""",6937003682
"ЗАО ""АСТ""",5753029488
"ООО ""А-МЕДИА ГРУППА""",2302048482
"ООО ""ШАТЛ-ПЕЙДЖИНГ""",6601006181
"АО ""ФИРМА ""АЛЬКОР""",2311041268
"ООО ""ТЕЛЕКОМПАНИЯ АСТВ""",6501069100
"ООО ""ГЕНЕРАТОР ФМ""",7203160549
"ООО ""АЛВЕДИ""",2466058761
"АУ ""ОТРК ""ЮГРА""",8601013369
"ООО ""СГМЕДИА""",3525240858
"ООО ""РОКИТ МЕДИА""",1215159829
"ООО ""ТВ НИКИ""",7727773920
"МБУ ""РЕДАКЦИЯ ЕЛЬНИНСКОГО ТРЦ""",6706005940
"ООО ""ВНРК""",4346055709
"ООО ""НОВЫЙ ФОРМАТ""",2460071318
"ООО ""РАДИОВОЛНА""",1835077693
"ООО ""СП РАДИО МАНХЭТТЕН ДРАЙВ""",2801026068
"ООО ""КУРГАН-ФМ""",4500018807
"ООО ""ИНТЕРРА МЕДИА""",6625051610
"ООО ""МЕДИА ИНВЕСТ ВЕЛИКИЕ ЛУКИ""",7206035426
"ООО ""НОВАЯ ВОЛНА""",3460084781
"ООО ""СЕВЕРО-ЗАПАДНОЕ ВЕЩАНИЕ""",5190934326
"ООО ""А СЕРИАЛ""",7722742614
"ООО ""КВАРК""",3525472947
"ООО ""ТЕЛЕКОМПАНИЯ ЮТВ""",2130093779
"ООО ""ИНТЕРСВЯЗЬСЕРВИС""",4826027660
"ООО ""ММ""",1402046536
"ООО ""ВЕКТОР""",5422111981
"ООО ""РГТ""",3334007995
"ООО ""РАДИО-МУРОМ""",3307015612
"ООО ""НОВАЯ ВОЛНА""",4212427433
"ООО ""КХЛ-МАРКЕТИНГ""",7707669014
"ООО ""ТЕЛЕТРАНССТРОЙ""",1117005066
"ООО ФИРМА ""РАДИО-ПУЛЬС""",6143033870
"ООО ""НАШЕ РАДИО""",4407008025
"ООО ""РАДИО-КОМ""",2511025369
"ООО ""РАДИО-КОМ""",2508070033
"ООО ""РТС""",1835053886
"ООО ""МЕДИА СЕРВИС""",6445004219
"ООО ""ЧАСТНИК-М""",4214021990
"ООО ""РАДАР""",5252020477
"ООО ""РАДИО-ЛЮБОВЬ""",7712101731
"ООО ""ОКТЯБРЬСКИЙ - ТВ""",0265019198
"ООО ТЕЛЕКОМПАНИЯ ""ВОЛГА""",5262007549
"ООО ""ТК ""КРИСТАЛЛ""",4205100275
"ООО ""АВТОЗВУК""",7901538541
"ООО ""ЦЕНТРАЛЬНО-ЕВРОПЕЙСКАЯ РАДИОВЕЩАТЕЛЬНАЯ КОМПАНИЯ""",7801161651
"ООО ""В.И.-ТОС""",4716023609
"ООО ""РАДИО 1""",2443034612
"ООО ""МЕДИАВОЛНА""",6439060952
"ООО ""ИЗДАТЕЛЬСТВО ""ЮЖУРАЛПЕЧАТЬ""",0267009678
"ООО ""МЕДИА-ПАРТНЕР""",1656057813
"ООО ""ФРТ""",6211007260
"АО ""ОТРК""",5753026328
"ООО ""НАВИРА+""",3906078234
"ООО ""ТРК ""СИБИРЬ""",1902009606
"ООО ""РЕГИОН-ТРЕЙД-3""",5906062213
"ООО ""АЛЕНСИО-АТВ-ИНФОРМ""",8604041692
"ООО ""ГОРОДСКОЙ ТЕЛЕКАНАЛ""",6312057050
"ООО ""АВТО СТАР""",0814112419
"ООО ""РТО ТЮМЕНЬ ФМ""",7202212392
"ООО РИА""МАРТПЛЮС""",7302030484
"ООО "" МЕДИА - ХОЛДИНГ "" ЗАПАДНАЯ СИБИРЬ """,8608051934
"ООО ""ЭЛИТА-1""",5503179226
,5191320865
"ЗАО ""РТВ""",3128001540
"ООО ""КУРСК-МЕДИА""",4632018930
"ООО ""МЕДИА КОММУНИКАЦИИ""",7451089484
"ООО РИЦ ""СЕКРЕТ""",6105007766
"МУ РЕДАКЦИЯ ГАЗЕТЫ ""ЧЕМАЛЬСКИЙ ВЕСТНИК""",0410000413
"ООО ""АЛЬЯНС-МЕДИА""",5902143616
"ООО ""АС""",5031038564
"ФГБУ ""РГМЦ"", ТЕЛЕРАДИОЦЕНТР ""ОРФЕЙ""",7703350227
"ООО ""ГЛАС""",3604016707
"ООО ""БИЙСКАЯ ВОЛНА""",2204026314
"ООО ""РАС""",4100011814
"ООО ""ГОЛЬФСТРИМ""",4401080868
"АО ""РАДИО ""ЗЕНИТ""",7841331500
"ООО ИПК ""ТВС""",1829001551
"ООО ""ВИТА-ТВ""",2313002970
"ООО ""НОВИТЕЛ""",0276059107
"ООО ""ТС""",6147029810
"ООО ""АСТ РАДИО""",3809020454
"ООО ""КТВ-ИНФОРМ""",5944204691
"ООО ""7ТВ""",7726648644
"ООО ""МЕДИА ТРАНЗИТ""",5906054406
"ООО ""ПАРТНЕР МЕДИА""",5504119188
"ООО ""КЛИНЦОВСКИЙ ВЕСТНИК""",3241007939
"АО ""МОСКВА МЕДИА""",7705194654
"ООО ""ОРЕНОБЛМЕДИА""",5609082190
"ООО ""ТРИУМФ""",3604017450
"ООО ""РА ""МЕДВЕДЬ""",1902014719
"ООО "" АВТО-РАДИО """,2465035659
"ООО ""АЛЬФА ПЛЮС""",7901021143
"АО ""РАДИО ""ЕВРОПА""",1001009512
"АУ ""НИИЦ""",8610012675
,4631006900
"ООО ""ТВ-КОЛЫМА-ПЛЮС""",4909130420
"ООО  ""ПРИМ24""",2536226349
"АУ ""НТРК ЧУВАШИИ"" МИНЦИФРЫ ЧУВАШИИ",2130054307
"ООО ""МЕГА МЕДИА""",6164307634
"ООО ""РОАЛАН""",5077017824
"ООО ""РТУ""",6916008866
"ОГБУ ""ОБЛАСТНАЯ ТЕЛЕРАДИОКОМПАНИЯ  ""РУСЬ""",4401015890
"АО ""СТВ""",2902055770
"ООО ""НАШЕ РАДИО""",1502045705
"ООО РАДИОКОМПАНИЯ  ""АССОНАНС""",4629028456
"ООО ""АРЕНА-МЕДИА""",4826075938
"ООО ""ИНВЕСТ-ТЕХНОЛОГИЯ""",6629015789
"ООО ""ТК ""КАСКАД""",7117003126
"АО ""ПЕРВЫЙ КАНАЛ""",7717039300
"ООО ""ОН-МЕДИА""",7730512340
"ООО ""САТЕЛЛИТ""",3305056740
"ООО ""ТЕЛЕРАДИОКОМПАНИЯ ""НОВАЯ ВОЛНА""",2540038965
"ООО  ""ПУЛЬС ЕЙСКА""",2306019348
"ООО ""ТРК ""НОВОЕ ВРЕМЯ""",1831084690
"КГБУ ""ОБЩЕСТВЕННОЕ ТЕЛЕВИДЕНИЕ ПРИМОРЬЯ""",2540056114
"ООО ""ТВ-21М""",7721226254
"ООО ""ЭСТЕТ-ТВ""",7717669599
"ООО ""ДРУГОЕ РАДИО""",2703024400
"ООО ""НИАГАРА ФУДС""",4029033479
"АО ""РУССКИЙ ВОСТОК""",2727023822
"ООО ""МЕДИАПАРТНЕР-АБАКАН""",1901072884
"ООО ""МЕРКУРИЙ""",0411132966
"ООО ""СИБИРЬ - МЕДИА""",0323354920
"ООО ""АВТОРАДИО-КОМСОМОЛЬСК""",2703014762
"ООО ""РЕКОМ""",1644040798
"ООО ""МЕДИА АЛЬЯНС""",3666194604
"ООО ""ТЕЛЕВИДЕНИЕ ТАЙШЕТА""",3811098426
"ООО ""СКТВ""/ТРК ""ВВ""",6143008908
"МБУ ""ТРК ""КАДУЙ""",3510007224
"ООО ""РЭСТ""",0268072094
"ООО ""ИРТА ""АБАКАН""",1900016333
"ООО ""РАДИО СИТИ""",2320166993
"ООО РИА ""ТВ-ПИЛОТ""",6901092079
"ООО ""ПРОХОРОВ МЕДИА""",6829116696
"ООО ""ГОРОД""",5502009550
"ООО ""НИКА-МЕДИА""",8603178101
"ООО ""СПРУТ-МЕДИА""",1827009450
"ООО ""КМВ ТЕЛЕКОМ""",2632065285
"ООО ""СЕМЬ МОРЕЙ""",0411133007
"ООО ""ПРАКТИКА +""",1835077485
"АО ""ГАТР""",7841320717
"ООО ""ЕЙСК-ФМ""",2331012787
"МАУ ""ТРК ПЫТЬ-ЯХИНФОРМ""",8612006282
"ООО ""МЕДИА-МАСТЕР""",2455021590
"ООО "" РАДИОКОРПОРАЦИЯ""",6231032515
"ООО СТРК ""ТЕРА - СТУДИЯ""",4714002071
"ООО ""РАДИО""",6731030298
"ЗАО ""БАЛТИК ПЛЮС""",3903000568
"ООО ""БИЗНЕС АЛЬЯНС""",4230026353
"ООО ""ТРК РУБАС""",0542028020
"МАУ ""БИ-ТВ""",8703009636
"ООО""КОМЕТА""",3120011962
"ООО ""СТОЛЕТ""",7813404147
"ООО ""ИЦ ""КИРИШИ""",4727013680
ООО ТВС,6829022350
"МБУ ЕРК ""РАДИО ЕКАТЕРИНБУРГ""",6671030237
"ООО ""ВЕРТИКАЛЬ""",3327818431
"ООО ""МЕДИА ТЕХНОЛОГИИ""",6672135539
"ООО ""МЕДИАЛЭНД""",6660144881
"ООО ""КАНАЛ СТВ""",4714019460
"ООО ""МЕДИА-ГРУППА ""ПОКОЛЕНИЕ NEXT""",0264022381
"ООО ""ХОРОШИЕ ЛЮДИ""",4345254003
"ООО ""МЕДИА ХОЛД""",7706401007
"ООО ""АРТ - МЕДИА""",2635122485
"ООО ""АИР ТВ-4""",5102040756
"ООО ""ГАРАНТ-Г""",1829009624
"ООО ""РАДИО-КОНТИНЕНТАЛЬ""",7451077175
"АНО ""ТРК ""ТЮМЕНСКОЕ ВРЕМЯ""",7203129309
"ООО ""ВЕЩАТЕЛЬ""",5902218710
"ООО ""ПУЛЬС-А""",6140021121
"ООО ""НЭФ-МЕДИА""",0105045224
"ООО ""МЕДИА - АС""",5611026869
"ООО ""РАДИОПРОЕКТ""",5043020716
"ООО ""ДАРК""",8601009789
"ООО ""ДЭМИ""",0273020246
"ООО ""МЕДИА-СИТИ""",3123095640
"ООО ""КОММУНИКАЦИОННЫЕ ТЕХНОЛОГИИ""",0270018295
"ООО ""УНАК""",7449043010
"ООО ""РАШН ТРЭВЕЛ ГАЙД""",7730582019
"АО ""САМАРА - ГИС""",6319693946
"ООО ""ТЕЛЕКОМПАНИЯ ""ВОСТОК 65""",6501104040
"ООО ""СТАРЛЕТ""",7202016694
"ООО ТРК ""ЗЕЛЕНОГОРСК""",2453023480
"ООО ""ПЛАЗМАВИДЕО""",3805708031
"ООО НПФ ""ТЕХНОЛОГИЯ""",3904003811
"АУ ""ЧЕРНОГОРСК-ИНФОРМ""",1903017448
"АО ""ОМСКОЕ РАДИО""",5528014836
"АО ""ТЕЛЕРАДИОКОМПАНИЯ ""ПЕТЕРБУРГ""",7825404448
"ООО ""РАДИО АСТРАХАНЬ""",3015044341
"ООО ""БИЗНЕС-РАДИО""",2225047756
"ООО ""ГРУ""",7447319199
"ООО ""ГОРОД ИНФО""",4329010761
"ООО ""ИТА ""ГУБЕРНИЯ""",2724047448
"ООО ""БОРНЕО""",3664226498
"ООО ""ЭКБИ""",7814046078
"ООО ""МЕДИАПРОМ""",2340017686
"АО ""КОЛОМЕНСКОЕ ТВ""",5022024195
"ООО  ""ПРЕЗЕНТ-ЧЕЛЯБИНСК""",7453190539
"ООО  ""РАДИО-ЗЛАТОУСТ""",7453203812
"ООО ""ТМТ""",1655150175
"ООО ""ВЫКСА-МЕДИА""",5247005272
"ООО ""ТРК ПРИМА-ТВ""",2466080277
"ООО ""ЕВРОПА ПЛЮС НОВОРОССИЙСК""",2315025972
"ООО ""РАДИОМИР""",3811037092
"ООО ""РАДИО-БИНЭС""",4026007745
"ООО ""КОМПАНИЯ ""МЕДИА ЛАЙН""",6660144899
"ООО ТРК ""ВИТА""",2302048732
"ООО ""ВИТА""",2302030365
"АО ""РТТ""",3128005368
"ООО ""РАДИО БЛАГОВЕСТ""",7017280091
"ООО ""РОСТМЕДИАКОМ""",1827022845
ВГТРК,7714072839
"АНО ""РАДИО ""ТИХВИН""",4715470072
"ООО ""ЭН МЕДИА""",6679005271
"ООО ""НИКА""",8603178655
"ООО ""АСТРА""",1007014170
"АО ""ТАТМЕДИА""",1655144950
"ООО ""ЛОЦМАН ФМ""",5911055772
"ООО ""ВНВК""",3327314280
"АО ""ОБЛ-ТВ""",7451434300
"ООО ""ТЕХАВТОЦЕНТР""",6439051394
"ООО ""МЕДИА СОЮЗ""",1328168253
"ООО ""СИБМЕДИАБИЗНЕС""",4217137181
"ООО ""РЕКОРД-С""",5254484354
"ООО ""МУЗ ТВ ОПЕРАЦИОННАЯ КОМПАНИЯ""",7703679460
"ООО ""МАКС-РАДИО""",7445018397
"ООО ""МЕДИА -ЦЕНТР""",3817020546
"ООО ""ВИЛГАН МЕДИА""",3407000144
"ООО ""ТЕЛЕРАДИОСЕРВИС""",0266010462
"ООО ""ПРИММЕДИА""",2721184245
"ООО ""САН""",5603007679
,6658001861
"АО ""ТЕЛЕКОМПАНИЯ НТВ""",7703191457
"ООО ТЕЛЕКОМПАНИЯ ""АИСТ""",3807000188
"ООО ""ЯРДУС""",7401016498
"ООО ""ЛИДЕР""",6452927137
"ООО ""ГОРОД ФМ""",6676000532
"ООО ""ТВ-СПЕКТР""",4824028354
"ООО "" ЛРК """,4824025427
"ООО ""ВЕЩАТЕЛЬ-МЕДИА""",6450076829
"ООО ""ТРАСТ-2""",2225222905
"ООО ""ФАНАТ""",2628039525
"ООО ""СОКОЛ""",4223034829
"АО ""ТРК ВС РФ ""ЗВЕЗДА""",7717653542
"ООО МТОТИЦ ""АРГУС""",5605022457
"ООО ""МЕЖДУРЕЧЬЕ""",3666109239
"ООО ""БРОНКО""",3123035746
"ООО ФИРМА ""ТРИАЛ""",0253005514
"ООО ""РА СИГМА""",8904053716
"ООО ""МЕДИА СТИЛЬ""",3338008118
"ООО ТЕЛЕРАДИОКОМПАНИЯ ""МАЛИНОВЫЙ КРАЙ""",7306041913
"ООО ""КОМИИНФОРМ М""",1101033011
"ООО ""МЕДИА ИНВЕСТ""",2539051168
"ООО ""СИБТЕЛЕКОМ-РАДИО""",4205085732
"ООО "" РУССКОЕ РАДИО ОДИН """,4826021259
"ООО ""НМК""",7704577132
"ООО""ИНТЕЛЕКОМ""",2505007964
"ООО ""ЭЛ-М""",8602063228
"АНО ""ИНФОРМАЦИОННЫЙ ТЕЛЕКАНАЛ ""ХИБИНЫ ТВ""",5101701996
"МБУ ""ЕТРК""",4821013945
"АО ""РАДИО-СП""",5615010355
"ООО ""КАНАЛ 49""",5404142095
"ООО ""АРС-МЕДИА""",2501013935
"ООО ""ТРК ""УДМУРТИЯ""",1800023947
"ООО ""ЭКСПРЕСС-К""",1658034064
"ООО ""МФ ""ЭХО-АСТРАХАНЬ""",3015103090
"ООО ""РАДИО СПУТНИК""",3444107760
"ООО ""РАДИОНАВИГАТОР - КУБАНЬ""",2302058071
"ООО ""РАДИУС""",5436109679
"ООО ""ПТО ""ТРЕТИЙ КАНАЛ""",1101021746
"ООО ""ЛИГА""",5911002770
"ООО ""КИРЖАЧ ФМ""",3327831810
"АО ""ТЕЛЕКОМПАНИЯ РУССКИЙ ПРОЕКТ""",7303018120
"ООО ""РАДИО-ЭКОФОНД""",6669013611
"ООО ""РАДИОСИСТЕМЫ""",6629013911
"АУКО ""ТРК ""СЕЙМ""",4632025409
"ООО  ""ТАРТИБ""",1658080991
"ООО ""ОРФЕЙ-КАЗАНЬ""",1658137454
"ООО ""НОВОЕ РА ПЛЮС""",6612014233
"ООО ""СТРК""",2320098260
"ООО ""РАДИО ""ПРЕМЬЕР""",3525074590
"ООО ""ТС ""МЕТРОНОМ-3""",2351007305
"ООО ""РАДИО МАКС""",2320166986
"ООО ТРК ""СУРГУТИНТЕРНОВОСТИ""",8602276120
"ООО ""ВОСТОК-21""",1435036460
"ООО ""РАДИО-СТИЛЬ""",3300006175
"ООО ""РАДИО 102""",3528218402
"ООО ""ТРИГОН""",5504023630
"ООО ""ТВ-ТРАНСМИТ""",3528022375
"ООО ""ПЕРСПЕКТИВА-М""",7705638740
"ООО ""РАДИО-ВЕЩАТЕЛЬ""",6450945324
"ООО ""АРТ Д""",3321032151
"ООО ""РАДИО ТЫНДА""",2808111724
"ООО ""УГЛИЧ МЕДИА ГРУПП""",7612041616
"ООО ""МИР""",0523012970
"ООО ""ТВЕРСКОЙ ПРОСПЕКТ ПЛЮС""",6905039083
"ООО ""МИТРА""",7203199899
"ООО  ""ГОРОДСКОЕ РАДИО""",6330031311
"АНО ""ГТРК""",7419005176
"ООО ""РАДИО 7 КРАСНОЯРСК""",2466078260
"ООО ""САРАНСК ТВ""",1326197604
"ООО ""ГОРА""",8603188036
"ООО ""ЦЕНТР МОЛОДЕЖНОЙ ИНИЦИАТИВЫ""",2225030992
"ООО ""КТРК ""НАДЕЖДА""",7104014709
"ООО  ""РЕКЛАМНОЕ АГЕНТСТВО ДЕВЯТКА""",4345241420
"ООО ""ТЕЛЕДОМ""",7813536048
"ООО ""РАНДЕВУ""",6150026866
"ООО ""ТРК ""ВОЛНА-ПЛЮС""",1105010544
"АНО ""ОТВР""",7717163097
"ООО ""БИСС""",3665015362
"ООО ТРК ""МАРТ""",7310008122
"ООО ""ВЕЩАТЕЛЬ""",6450049744
"ООО ""ИНФОРМАЦИОННЫЕ КОММУНИКАЦИИ""",6617020784
"ООО ""ДЕЛЬТА ТЕЛЕВИЖН""",7726700855
"ООО ""МЕДИА-ХОЛДИНГ""",6452061754
"ООО ""ЛИДЕР""",6628016275
"ООО ""МАГ ТВ""",7722765883
"ООО""РАДИО РОКС-ЛИПЕЦК""",4826026264
"ООО ""ПОЗИТИВ""",6119009428
"МУП ""ТРК ""27 ПЛЮС""",4223009090
"ООО ""ШАДР - ИНФО""",4502026560
"ООО ТЕЛЕКАНАЛ ""ЗДОРОВЬЕ""",6949009287
"ООО ""АЛЬФА-МЕДИА""",1102027677
"ООО ""ЕВРО-ПРОЕКТ""",7710675530
"ООО ""УОРЛД ФЭШН""",7702702733
"ООО ""КУЗНЕЦК-МЕДИА""",5803016536
"ООО ""СМ""",2634069260
"ООО ТРК ""СЕВЕР""",8617033441
